id_detalle,id_pedido,id_producto,cantidad,precio_unitario
1,1,7,37,90000
2,1,4,79,188000
3,2,20,114,43000
4,2,6,27,108000
5,2,23,86,43000
6,2,1,82,147000
7,2,19,28,131000
8,3,15,114,87000
9,3,23,108,43000
10,4,25,2,55000
11,5,20,2,43000
12,5,12,1,510000
13,6,24,2,49000
14,6,10,1,421000
15,7,13,1,463000
16,7,14,1,252000
17,8,10,2,421000
18,8,12,2,510000
19,8,23,3,43000
20,9,24,1,49000
21,9,16,2,87000
22,10,13,3,463000
23,10,14,2,252000
24,11,15,1,87000
25,12,15,1,87000
26,12,13,3,463000
27,13,22,3,32000
28,13,13,2,463000
29,13,14,2,252000
30,14,16,2,87000
31,14,24,2,49000
32,14,11,1,187000
33,15,16,1,87000
34,15,20,1,43000
35,15,6,2,108000
36,16,16,86,87000
37,16,19,106,131000
38,16,3,53,212000
39,17,12,34,510000
40,17,19,81,131000
41,17,15,47,87000
42,17,13,83,463000
43,18,3,81,212000
44,18,25,87,55000
45,18,22,100,32000
46,18,2,36,251000
47,19,8,127,236000
48,19,19,28,131000
49,19,6,98,108000
50,20,5,26,108000
51,20,6,65,108000
52,20,7,65,90000
53,20,4,119,188000
54,21,13,87,463000
55,21,20,21,43000
56,22,11,119,187000
57,22,18,97,147000
58,22,20,35,43000
59,22,5,102,108000
60,22,21,63,67000
61,23,14,56,252000
62,23,9,28,188000
63,23,1,34,147000
64,23,2,150,251000
65,23,15,112,87000
66,24,4,117,188000
67,24,18,125,147000
68,25,3,2,212000
69,25,20,2,43000
70,25,1,1,147000
71,26,13,2,463000
72,26,5,1,108000
73,26,15,1,87000
74,27,22,3,32000
75,27,3,1,212000
76,28,15,2,87000
77,28,13,1,463000
78,29,1,2,147000
79,29,18,1,147000
80,30,22,1,32000
81,30,24,3,49000
82,30,2,1,251000
83,31,25,2,55000
84,31,15,1,87000
85,31,2,3,251000
86,32,17,23,108000
87,32,16,75,87000
88,33,6,56,108000
89,33,8,53,236000
90,33,18,63,147000
91,33,21,76,67000
92,34,10,44,421000
93,34,6,50,108000
94,34,13,63,463000
95,34,14,69,252000
96,35,6,48,108000
97,35,12,80,510000
98,35,1,69,147000
99,35,7,24,90000
100,36,3,77,212000
101,36,11,33,187000
102,37,3,61,212000
103,37,2,71,251000
104,37,14,33,252000
105,37,15,79,87000
106,37,9,17,188000
107,38,4,21,188000
108,38,19,77,131000
109,38,11,56,187000
110,38,17,56,108000
111,39,14,28,252000
112,39,25,32,55000
113,39,3,56,212000
114,39,1,71,147000
115,40,7,76,90000
116,40,16,32,87000
117,40,18,60,147000
118,40,14,46,252000
119,40,2,41,251000
120,41,15,2,87000
121,41,10,3,421000
122,42,3,3,212000
123,43,4,1,188000
124,43,25,1,55000
125,43,1,3,147000
126,44,7,2,90000
127,45,19,1,131000
128,46,21,1,67000
129,46,14,3,252000
130,47,3,3,212000
131,48,22,147,32000
132,48,10,26,421000
133,48,21,66,67000
134,48,24,72,49000
135,48,25,57,55000
136,49,14,101,252000
137,49,12,142,510000
138,49,21,118,67000
139,49,18,54,147000
140,50,16,109,87000
141,50,7,45,90000
142,50,11,91,187000
143,50,23,24,43000
144,51,21,104,67000
145,51,18,39,147000
146,51,24,27,49000
147,51,4,77,188000
148,51,7,65,90000
149,52,24,48,49000
150,52,2,68,251000
151,53,8,85,236000
152,53,19,77,131000
153,54,12,54,510000
154,54,14,43,252000
155,54,11,47,187000
156,55,14,78,252000
157,55,6,58,108000
158,56,25,147,55000
159,56,11,70,187000
160,57,17,92,108000
161,57,11,68,187000
162,58,18,59,147000
163,58,22,23,32000
164,58,8,63,236000
165,58,10,47,421000
166,59,1,71,147000
167,59,19,66,131000
168,60,7,49,90000
169,60,11,69,187000
170,61,4,71,188000
171,61,20,38,43000
172,62,9,19,188000
173,62,20,41,43000
174,63,4,42,188000
175,63,14,47,252000
176,63,3,37,212000
177,63,6,32,108000
178,64,15,36,87000
179,64,3,20,212000
180,64,19,40,131000
181,64,7,53,90000
182,65,1,62,147000
183,65,5,78,108000
184,65,24,33,49000
185,65,25,19,55000
186,66,24,2,49000
187,66,20,1,43000
188,66,22,3,32000
189,67,2,3,251000
190,67,25,2,55000
191,67,11,3,187000
192,68,4,1,188000
193,68,10,2,421000
194,69,8,1,236000
195,69,17,1,108000
196,69,7,3,90000
197,70,21,2,67000
198,70,6,3,108000
199,70,3,1,212000
200,71,8,1,236000
201,71,10,3,421000
202,72,22,3,32000
203,72,12,1,510000
204,73,13,2,463000
205,73,7,3,90000
206,74,3,3,212000
207,75,1,2,147000
208,75,10,2,421000
209,76,23,3,43000
210,76,15,3,87000
211,76,25,2,55000
212,77,16,11,87000
213,77,6,24,108000
214,77,20,32,43000
215,77,23,38,43000
216,78,9,30,188000
217,78,25,43,55000
218,78,21,20,67000
219,79,12,59,510000
220,79,24,47,49000
221,79,11,13,187000
222,80,25,34,55000
223,80,24,23,49000
224,80,4,53,188000
225,80,17,34,108000
226,81,7,39,90000
227,81,13,11,463000
228,81,18,18,147000
229,81,11,56,187000
230,82,16,106,87000
231,82,19,54,131000
232,82,7,90,90000
233,82,9,98,188000
234,83,17,71,108000
235,83,9,99,188000
236,83,20,112,43000
237,83,10,28,421000
238,84,23,48,43000
239,84,25,35,55000
240,85,14,92,252000
241,85,15,117,87000
242,85,24,96,49000
243,86,4,32,188000
244,86,22,47,32000
245,86,6,62,108000
246,86,3,108,212000
247,86,24,118,49000
248,87,25,3,55000
249,87,4,2,188000
250,88,21,1,67000
251,88,11,2,187000
252,88,5,2,108000
253,89,22,2,32000
254,90,5,1,108000
255,90,15,2,87000
256,90,9,3,188000
257,91,17,3,108000
258,91,24,1,49000
259,92,22,1,32000
260,92,15,2,87000
261,93,22,2,32000
262,93,23,1,43000
263,93,18,2,147000
264,94,25,1,55000
265,94,10,2,421000
266,94,12,3,510000
267,95,12,2,510000
268,96,21,3,67000
269,96,4,2,188000
270,96,6,1,108000
271,97,14,3,252000
272,97,3,2,212000
273,97,17,3,108000
274,98,25,3,55000
275,98,8,3,236000
276,99,18,52,147000
277,99,1,56,147000
278,99,5,19,108000
279,99,23,25,43000
280,100,17,79,108000
281,100,3,65,212000
282,100,9,49,188000
283,101,4,66,188000
284,101,23,23,43000
285,101,9,36,188000
286,102,16,51,87000
287,102,2,78,251000
288,102,20,76,43000
289,102,17,75,108000
290,102,25,47,55000
291,103,25,29,55000
292,103,8,71,236000
293,103,21,36,67000
294,104,19,65,131000
295,104,3,56,212000
296,104,8,43,236000
297,104,18,24,147000
298,105,24,31,49000
299,105,11,27,187000
300,106,20,48,43000
301,106,25,57,55000
302,106,3,36,212000
303,106,21,16,67000
304,107,7,40,90000
305,107,25,44,55000
306,108,12,37,510000
307,108,22,61,32000
308,108,10,27,421000
309,108,5,80,108000
310,109,11,28,187000
311,109,14,52,252000
312,109,15,26,87000
313,109,7,59,90000
314,110,21,23,67000
315,110,22,76,32000
316,111,23,95,43000
317,111,2,92,251000
318,111,7,96,90000
319,111,1,67,147000
320,111,13,45,463000
321,112,12,115,510000
322,112,16,62,87000
323,112,23,27,43000
324,113,25,81,55000
325,113,5,108,108000
326,113,22,71,32000
327,114,7,86,90000
328,114,19,29,131000
329,114,12,68,510000
330,115,6,47,108000
331,115,18,46,147000
332,115,13,70,463000
333,115,1,83,147000
334,116,7,81,90000
335,116,2,37,251000
336,116,18,113,147000
337,117,13,2,463000
338,118,13,3,463000
339,118,9,1,188000
340,118,22,1,32000
341,119,21,3,67000
342,119,3,2,212000
343,119,17,2,108000
344,120,19,2,131000
345,120,1,1,147000
346,121,23,3,43000
347,121,24,1,49000
348,121,16,3,87000
349,122,16,3,87000
350,122,14,3,252000
351,123,19,3,131000
352,123,24,3,49000
353,124,16,3,87000
354,124,14,3,252000
355,124,24,2,49000
356,125,14,2,252000
357,126,10,2,421000
358,126,21,2,67000
359,127,18,3,147000
360,127,3,2,212000
361,127,22,2,32000
362,128,11,3,187000
363,129,15,2,87000
364,129,7,2,90000
365,130,8,3,236000
366,131,24,3,49000
367,132,20,3,43000
368,133,17,1,108000
369,134,6,3,108000
370,134,8,1,236000
371,135,14,1,252000
372,135,6,1,108000
373,135,24,2,49000
374,136,12,1,510000
375,136,2,2,251000
376,136,7,3,90000
377,137,19,66,131000
378,137,20,48,43000
379,137,11,63,187000
380,138,6,40,108000
381,138,21,15,67000
382,139,4,38,188000
383,139,22,27,32000
384,140,23,17,43000
385,140,19,65,131000
386,140,20,40,43000
387,140,18,70,147000
388,141,16,19,87000
389,141,17,25,108000
390,142,14,27,252000
391,142,7,10,90000
392,143,10,21,421000
393,143,2,26,251000
394,144,25,32,55000
395,144,10,48,421000
396,144,17,39,108000
397,144,15,59,87000
398,144,20,54,43000
399,145,14,55,252000
400,145,12,21,510000
401,145,3,44,212000
402,145,10,20,421000
403,145,13,33,463000
404,146,2,44,251000
405,146,18,57,147000
406,147,2,68,251000
407,147,14,18,252000
408,148,25,69,55000
409,148,11,69,187000
410,148,7,65,90000
