id_pedido,id_cliente,id_canal,fecha_pedido,estado_pedido,monto_total
1,1,3,2026-01-22,entregado,18182000
2,1,3,2025-06-09,entregado,27238000
3,1,2,2025-07-11,entregado,14562000
4,2,1,2026-05-12,creado,110000
5,2,2,2025-10-06,entregado,596000
6,2,2,2025-08-14,entregado,519000
7,2,3,2025-08-27,entregado,715000
8,2,1,2025-12-17,pagado,1991000
9,2,1,2025-12-25,entregado,223000
10,3,2,2026-05-21,creado,1893000
11,3,2,2026-05-07,entregado,87000
12,3,2,2026-05-10,entregado,1476000
13,3,1,2026-04-10,entregado,1526000
14,3,1,2026-04-17,entregado,459000
15,3,1,2026-05-11,pagado,346000
16,4,3,2025-10-06,entregado,32604000
17,4,3,2025-08-09,entregado,70469000
18,4,3,2025-09-18,pagado,34193000
19,4,3,2025-02-16,creado,44224000
20,4,2,2025-09-28,creado,38050000
21,4,2,2026-02-22,entregado,41184000
22,4,3,2025-08-17,pagado,53254000
23,4,3,2025-12-06,entregado,71768000
24,4,1,2025-05-26,creado,40371000
25,5,2,2025-12-04,entregado,657000
26,5,1,2026-02-12,pagado,1121000
27,5,1,2025-07-24,entregado,308000
28,5,1,2025-10-20,creado,637000
29,6,1,2026-03-21,entregado,441000
30,6,2,2025-03-05,pagado,430000
31,6,1,2025-04-13,creado,950000
32,7,2,2025-11-01,entregado,9009000
33,7,3,2026-04-11,entregado,32909000
34,7,1,2026-02-22,entregado,70481000
35,7,3,2025-09-04,creado,58287000
36,7,1,2026-01-09,creado,22495000
37,7,1,2026-03-01,entregado,49138000
38,7,1,2026-03-03,entregado,30555000
39,7,1,2026-05-09,entregado,31125000
40,7,2,2026-02-18,creado,40327000
41,8,2,2026-03-07,entregado,1437000
42,8,1,2025-08-23,pagado,636000
43,8,2,2026-01-19,entregado,684000
44,9,1,2026-02-04,creado,180000
45,9,2,2026-04-27,entregado,131000
46,9,1,2026-05-01,entregado,823000
47,9,2,2026-01-13,entregado,636000
48,10,3,2026-01-10,creado,26735000
49,10,3,2025-12-28,creado,113716000
50,10,3,2026-02-07,entregado,31582000
51,10,1,2025-09-27,entregado,34350000
52,10,3,2025-12-25,entregado,19420000
53,10,3,2026-01-28,entregado,30147000
54,10,3,2026-02-23,entregado,47165000
55,10,1,2025-10-08,entregado,25920000
56,10,3,2026-04-07,pagado,21175000
57,10,3,2025-09-11,pagado,22652000
58,11,3,2025-01-16,entregado,44064000
59,11,2,2025-07-18,pagado,19083000
60,11,3,2026-03-12,entregado,17313000
61,11,1,2024-11-02,entregado,14982000
62,11,2,2025-06-11,entregado,5335000
63,11,3,2024-10-26,entregado,31040000
64,11,2,2025-01-26,entregado,17382000
65,11,3,2026-04-14,entregado,20200000
66,12,2,2025-07-04,entregado,237000
67,12,3,2025-08-23,creado,1424000
68,13,1,2026-02-02,creado,1030000
69,13,2,2025-02-13,entregado,614000
70,13,3,2025-03-28,creado,670000
71,14,2,2025-02-16,creado,1499000
72,14,1,2025-03-18,creado,606000
73,14,2,2024-10-16,entregado,1196000
74,14,2,2025-03-01,creado,636000
75,14,2,2026-05-20,entregado,1136000
76,14,2,2024-11-27,entregado,500000
77,15,1,2026-05-12,entregado,6559000
78,15,1,2026-05-07,entregado,9345000
79,15,3,2026-05-03,entregado,34824000
80,15,2,2026-05-12,pagado,16633000
81,15,2,2026-05-23,entregado,21721000
82,16,3,2025-04-10,creado,42820000
83,16,3,2025-01-20,creado,42884000
84,17,3,2026-05-13,pagado,3989000
85,18,3,2026-01-08,entregado,38067000
86,18,3,2025-12-04,entregado,42894000
87,19,2,2025-12-06,pagado,541000
88,19,2,2025-12-09,pagado,657000
89,19,1,2025-10-11,pagado,64000
90,19,2,2025-12-23,entregado,846000
91,19,2,2026-05-05,entregado,373000
92,19,2,2025-09-10,entregado,206000
93,20,3,2026-01-07,entregado,401000
94,20,2,2025-01-07,entregado,2427000
95,20,1,2025-07-23,pagado,1020000
96,20,1,2026-04-20,entregado,685000
97,21,2,2026-01-17,entregado,1504000
98,21,1,2025-12-06,pagado,873000
99,22,3,2025-04-02,entregado,19003000
100,22,3,2025-08-24,entregado,31524000
101,22,3,2025-02-05,entregado,20165000
102,22,3,2025-06-17,entregado,37968000
103,22,3,2026-02-15,entregado,20763000
104,22,1,2025-07-23,pagado,34063000
105,22,3,2024-09-18,creado,6568000
106,22,2,2025-08-28,pagado,13903000
107,22,1,2024-09-10,entregado,6020000
108,22,3,2026-03-19,pagado,40829000
109,22,3,2025-02-09,entregado,25912000
110,22,3,2026-02-03,pagado,3973000
111,23,1,2025-11-05,pagado,66501000
112,23,3,2025-10-13,entregado,65205000
113,24,3,2025-06-12,creado,18391000
114,24,3,2026-02-25,pagado,46219000
115,24,1,2026-03-01,entregado,56449000
116,24,3,2026-02-06,pagado,33188000
117,25,1,2024-11-20,creado,926000
118,25,2,2025-08-26,creado,1609000
119,25,1,2025-08-07,creado,841000
120,26,1,2025-06-07,creado,409000
121,26,2,2025-09-18,creado,439000
122,26,1,2025-05-02,entregado,1017000
123,27,1,2026-01-26,creado,540000
124,27,2,2025-07-22,entregado,1115000
125,28,2,2025-07-25,pagado,504000
126,28,1,2025-09-01,pagado,976000
127,28,2,2025-11-27,entregado,929000
128,28,1,2026-02-21,entregado,561000
129,28,1,2025-01-28,creado,354000
130,28,2,2025-07-24,creado,708000
131,29,1,2025-05-11,pagado,147000
132,29,2,2026-02-17,entregado,129000
133,29,2,2025-05-08,creado,108000
134,29,1,2025-11-23,pagado,560000
135,29,1,2024-12-28,creado,458000
136,29,1,2026-01-17,entregado,1282000
137,30,3,2026-03-17,entregado,22491000
138,30,3,2025-12-23,entregado,5325000
139,30,3,2025-12-22,pagado,8008000
140,30,1,2025-12-16,pagado,21256000
141,31,3,2026-02-17,entregado,4353000
142,31,3,2024-10-04,entregado,7704000
143,31,1,2026-05-08,pagado,15367000
144,31,3,2026-03-27,entregado,33635000
145,32,3,2026-03-10,pagado,57597000
146,32,3,2026-03-02,entregado,19423000
147,32,3,2026-02-06,creado,21604000
148,32,1,2026-02-09,entregado,22548000
149,32,1,2026-02-08,creado,23207000
150,32,3,2026-01-28,entregado,39095000
151,32,3,2026-05-16,pagado,35925000
152,32,3,2026-03-27,pagado,40065000
153,32,3,2026-05-11,entregado,40786000
154,32,1,2026-01-13,creado,49632000
155,33,1,2025-03-12,entregado,14427000
156,33,2,2025-03-18,entregado,40697000
157,33,3,2025-07-01,creado,12768000
158,33,3,2025-05-19,creado,3404000
159,33,3,2026-01-16,entregado,42624000
160,33,3,2024-12-03,pagado,19486000
161,33,2,2024-09-20,pagado,31363000
162,33,2,2024-10-18,entregado,18005000
163,33,2,2025-01-25,pagado,59062000
164,34,1,2026-02-28,entregado,1530000
165,34,1,2026-04-12,entregado,1112000
166,34,2,2026-03-07,pagado,180000
167,34,1,2026-02-10,creado,756000
168,34,1,2026-01-19,entregado,43000
169,34,1,2026-02-28,pagado,826000
170,35,1,2026-05-16,entregado,24891000
171,35,3,2025-12-21,entregado,16527000
172,35,2,2026-05-16,entregado,36908000
173,35,3,2025-08-24,entregado,22524000
174,36,1,2025-06-22,entregado,564000
175,36,1,2024-12-24,entregado,1073000
176,36,1,2026-01-12,entregado,443000
177,36,1,2026-05-24,pagado,606000
178,36,1,2025-05-18,entregado,641000
179,36,1,2026-02-26,entregado,472000
180,37,1,2025-04-15,creado,337000
181,37,1,2025-03-14,pagado,797000
182,37,3,2026-02-27,creado,636000
183,38,1,2026-01-12,creado,926000
184,38,2,2025-12-27,entregado,236000
185,38,2,2025-12-07,pagado,1389000
186,39,3,2025-06-06,creado,74148000
187,39,3,2025-03-21,pagado,60095000
188,39,3,2026-01-23,entregado,29487000
189,39,3,2026-02-08,entregado,66425000
190,39,3,2026-02-07,entregado,51328000
191,39,3,2026-04-01,creado,20158000
192,39,1,2025-02-14,entregado,44442000
193,39,3,2025-08-10,entregado,52307000
194,39,3,2025-03-26,entregado,32849000
195,39,3,2026-05-28,entregado,34650000
196,40,1,2025-06-25,entregado,1484000
197,40,1,2026-02-20,pagado,294000
198,40,2,2025-08-18,entregado,477000
199,41,1,2025-09-11,entregado,174000
200,41,1,2025-05-18,pagado,540000
201,41,2,2025-07-28,entregado,452000
202,41,1,2026-03-24,entregado,650000
203,41,1,2025-07-12,entregado,1579000
204,42,1,2026-04-03,entregado,394000
205,42,2,2026-05-25,entregado,502000
206,42,2,2026-04-12,entregado,460000
207,44,1,2025-12-20,creado,21297000
208,44,3,2026-04-02,entregado,35562000
209,44,3,2025-12-26,entregado,42347000
210,44,1,2025-11-05,pagado,52360000
211,44,3,2026-01-08,pagado,20469000
212,44,3,2026-02-24,pagado,33820000
213,44,3,2025-12-08,creado,13108000
214,44,3,2025-11-02,entregado,35230000
215,44,1,2025-12-22,creado,68079000
216,44,3,2025-09-18,pagado,16675000
217,45,2,2026-04-12,entregado,31682000
218,45,1,2025-12-05,entregado,10863000
